,,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week,Fiscal Week
Need State,Fiscal Year,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Need State 1,2021,3684.75,3426.75,4221.75,2959.5,3402.75,3440.25,2619,3240.75,3461.25,3045,3942.75,4527,5049.75,5021.25,7921.5,8265,9694.5,9465.75,9294,11571,10518,9945,8270.25,7458.75,5764.5,5799,4686.75,5145.75,4277.25,3400.5,4156.5,3395.25,3780.75,3655.5,4038.75,3996,2899.5,4110.75,2969.25,3213,2867.25,3072,2651.25,2442.75,2108.25,2079.75,2442.75,3016.5,2412,2110.5,2878.5,2358.75
Need State 1,2022,3441.75,3657,3806.25,3765.75,3984,2999.25,3231.75,2896.5,2938.5,3370.5,3465,4341,5413.5,4136.25,5704.5,4307.25,6462.75,5088,5722.5,5211,6423,6408,6981.75,6810,8342.25,6725.25,4088.25,6627.75,5946,4268.25,5478,3631.5,5435.25,4350,4778.25,4641,3075,3638.25,3049.5,3129.75,3091.5,2377.5,2754,2427.75,2514.75,2583,2163,3263.25,4025.25,2246.25,1896,2421
Need State 1,2023,2901.75,2919.75,2760.75,2525.25,3274.5,2631,2621.25,2297.25,2717.25,3062.25,2283.75,3463.5,2735.25,3575.25,2765.25,4332,4167.75,4409.25,5298.75,6633.75,5106,6156,6244.5,7345.5,4947.75,5104.5,5976.75,3849.75,3991.5,3461.25,3765.75,2844,3442.5,4605,3937.5,3063.75,2633.25,2598,2917.5,3638.25,2469,0,0,0,0,0,0,0,0,0,0,0
Need State 2,2021,11283,12698.25,18210,12725.25,19290.75,12869.25,14770.5,13758,14404.5,10047.75,12971.25,10590.75,10084.5,9434.25,14040.75,15936,15492,12170.25,14530.5,11547,12012,9823.5,10550.25,10377,7430.25,8093.25,6697.5,7224,8355.75,5889.75,6570.75,6599.25,7659.75,5667,6619.5,6052.5,8075.25,6512.25,6955.5,5948.25,6466.5,7743.75,9129.75,7565.25,7682.25,9483.75,12681,14578.5,8278.5,9657,8244.75,7518
Need State 2,2022,8566.5,11636.25,9718.5,9857.25,12634.5,8575.5,7626,6586.5,7532.25,6529.5,6819,7100.25,7289.25,6840,8550.75,7314.75,10150.5,6726,7780.5,7908,7419,7626.75,7138.5,8532.75,6761.25,5844,5825.25,6452.25,6469.5,5252.25,6114.75,6512.25,6411,5250,5809.5,6198,6070.5,7338,6208.5,6656.25,6437.25,8136.75,8856,6453.75,7784.25,9892.5,10252.5,16174.5,17265,11385,8076,14489.25
Need State 2,2023,7915.5,7142.25,7864.5,8031,14619.75,11294.25,6878.25,7881.75,7542,8510.25,8500.5,8667.75,6966,8259,6927.75,9660.75,8663.25,8235,7530.75,9257.25,5958.75,9289.5,7449,7594.5,6601.5,6876.75,5448.75,8272.5,6987.75,5758.5,7765.5,6812.25,5285.25,7611.75,4529.25,6837.75,7330.5,6317.25,7203,6395.25,6606.75,0,0,0,0,0,0,0,0,0,0,0
Need State 3,2021,11958.75,11279.25,9659.25,11369.25,8376,9748.5,7694.25,12636,8955,8427.75,9404.25,9249,7868.25,10521,12336.75,11125.5,11022.75,12348.75,9120,13093.5,10692,10530,8646.75,9419.25,6986.25,8842.5,7251.75,7355.25,5880,7737.75,5929.5,5922.75,7146.75,6741,6010.5,8017.5,5499,7940.25,6592.5,6909,6232.5,6338.25,4853.25,6712.5,5549.25,6735.75,7647,13239,5052.75,5668.5,6709.5,6012
Need State 3,2022,8359.5,7750.5,6705,8472,8309.25,5844.75,5243.25,7948.5,4886.25,5438.25,4990.5,7619.25,4386,6857.25,5988,4491.75,7133.25,4959.75,5751.75,5200.5,6698.25,5193.75,6801.75,5866.5,7352.25,5948.25,7233,6956.25,6462,5979,5761.5,5908.5,7677.75,5808,5187,6813.75,5092.5,5372.25,6168.75,7268.25,5062.5,6167.25,6195,5993.25,4446.75,7068.75,5205,12023.25,11451,7677.75,4029,9322.5
Need State 3,2023,5179.5,8040,5007.75,5653.5,6666.75,6546.75,5243.25,7605.75,5856,7410,5521.5,7584.75,5775.75,4848,4256.25,8676.75,6813.75,6177.75,6449.25,6885.75,5414.25,6283.5,6373.5,8634,7368.75,7879.5,4768.5,7866,6985.5,7682.25,6594.75,6403.5,5403.75,8136,4803.75,6606,4928.25,4743,6272.25,6846,5431.5,0,0,0,0,0,0,0,0,0,0,0
Need State 4,2021,14755.5,16803,16849.5,14108.25,20616,13823.25,13392.75,14490,13727.25,11023.5,12563.25,12119.25,12805.5,11544,14825.25,22781.25,14601,13516.5,14590.5,12529.5,12645,11053.5,12019.5,10047.75,10372.5,9849,8484.75,9808.5,8745.75,8175,8167.5,8409.75,10485.75,9972,10860,9233.25,10282.5,9164.25,12162.75,10622.25,8721.75,10592.25,10680,9960.75,8895,10631.25,9816.75,10827,10139.25,10624.5,10371.75,8635.5
Need State 4,2022,11095.5,17230.5,13074.75,11168.25,19377,10166.25,10544.25,9573.75,9941.25,8024.25,8870.25,9240,10481.25,8949,10015.5,8343,12491.25,6842.25,8835.75,7607.25,7792.5,9372,9641.25,10461,6513,8349,7595.25,8072.25,7249.5,6978.75,8566.5,8521.5,9502.5,9363,7475.25,8436,7473.75,8941.5,8235.75,8616.75,7726.5,9090,7854,8457.75,7491,9054.75,8586,10875,11812.5,10074.75,7985.25,6142.5
Need State 4,2023,6963,8859.75,8436,7923.75,17929.5,9504.75,8709,7854,9372.75,8770.5,8442,9414.75,8088,7207.5,6756,10069.5,9841.5,7993.5,7897.5,8042.25,7575.75,8646,8259.75,7887.75,6587.25,6353.25,7467,7537.5,6676.5,7437,7371,7686,7364.25,8100,9905.25,7820.25,8358.75,9430.5,7305,7388.25,8591.25,0,0,0,0,0,0,0,0,0,0,0
Need State 5,2021,448.5,285.75,276,237.75,433.5,233.25,370.5,315.75,551.25,675.75,995.25,1776.75,2505,3737.25,6728.25,6337.5,8767.5,7281,13542,17999.25,28365.75,16926,20357.25,12407.25,11602.5,14219.25,9683.25,6409.5,4857,2762.25,3534.75,2136,3093.75,2869.5,1594.5,1974,1316.25,1104.75,453.75,327,204.75,226.5,270.75,264.75,219.75,252.75,406.5,647.25,277.5,230.25,187.5,382.5
Need State 5,2022,471,537,411.75,540.75,601.5,541.5,758.25,493.5,748.5,1540.5,726,1792.5,2394,1094.25,1938.75,1767,3873,2907,6534,6714,7275,6359.25,7629.75,4884,3603,5925,5229,5319,4953.75,2443.5,3564.75,2650.5,3603.75,3119.25,1461.75,2079.75,988.5,923.25,465.75,547.5,612.75,399.75,678.75,683.25,526.5,738.75,636.75,1434,1345.5,717,498,795.75
Need State 5,2023,1221,937.5,875.25,1019.25,1093.5,2187,4014.75,2139.75,1893,3548.25,1425.75,2628.75,2742,2496.75,7094.25,6849.75,5802,4909.5,7177.5,8891.25,11021.25,5580.75,10229.25,4476.75,3870.75,8675.25,7122,7592.25,3705,3881.25,5003.25,4181.25,2303.25,2762.25,1339.5,2147.25,1051.5,813.75,663.75,698.25,928.5,0,0,0,0,0,0,0,0,0,0,0
Need State 6,2021,6929.25,6226.5,7128.75,6423.75,6801,6545.25,5718,7878,6035.25,5799,5229,5707.5,6843,5844.75,8559.75,7908.75,10527,11718,11941.5,16122.75,14102.25,13658.25,11581.5,12146.25,11598.75,9384,7965.75,9339,8558.25,7830,8070,7860,7491,8354.25,7929.75,6942.75,6576.75,7738.5,6446.25,6249.75,6146.25,6003.75,7296,5988.75,5532,5456.25,6828,9346.5,6275.25,5706,6168,5531.25
Need State 6,2022,7405.5,9000.75,8354.25,8982.75,8905.5,6419.25,6573,6710.25,8185.5,6075.75,5880.75,6043.5,6873,5549.25,6033.75,5556.75,8270.25,6912,7340.25,9194.25,6375,9875.25,8523.75,7867.5,7953.75,9046.5,7309.5,7772.25,10165.5,7777.5,8115.75,6699,6674.25,8133.75,8025.75,6975,5630.25,7951.5,5983.5,6127.5,6417.75,6465.75,5978.25,5899.5,5176.5,5328.75,8055,8850,7952.25,7626,6060.75,5622.75
Need State 6,2023,6918,6349.5,5749.5,5434.5,12224.25,6025.5,6106.5,5668.5,6065.25,5964.75,5513.25,6131.25,5236.5,5472.75,4804.5,8177.25,7598.25,7570.5,7011.75,8346,7911,7395,7970.25,6733.5,6722.25,7122,7708.5,7256.25,8790.75,8167.5,8322.75,6112.5,7658.25,6474.75,6815.25,6507,6108,7057.5,5617.5,5651.25,6583.5,0,0,0,0,0,0,0,0,0,0,0